U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.25,0,0,1096.64,1,0,-100,0,0.5,0
0.25196,0,0,1096.55,1,0.199997,-99.8,0,0.5,1
0.25392,0,0,1096.47,1,0.400002,-99.6,0,0.5,2
0.25588,0,0,1096.38,1,0.599998,-99.4,0,0.5,3
0.25784,0,0,1096.3,1,0.800003,-99.2,0,0.5,4
0.2598,0,0,1096.21,1,1,-99,0,0.5,5
0.26176,0,0,1096.13,1,1.2,-98.8,0,0.5,6
0.26372,0,0,1096.04,1,1.4,-98.6,0,0.5,7
0.26568,0,0,1095.96,1,1.6,-98.4,0,0.5,8
0.26764,0,0,1095.87,1,1.8,-98.2,0,0.5,9
0.2696,0,0,1095.78,1,2,-98,0,0.5,10
0.27156,0,0,1095.7,1,2.2,-97.8,0,0.5,11
0.27352,0,0,1095.61,1,2.4,-97.6,0,0.5,12
0.27548,0,0,1095.53,1,2.6,-97.4,0,0.5,13
0.27744,0,0,1095.44,1,2.8,-97.2,0,0.5,14
0.2794,0,0,1095.36,1,3,-97,0,0.5,15
0.28136,0,0,1095.27,1,3.2,-96.8,0,0.5,16
0.28332,0,0,1095.19,1,3.4,-96.6,0,0.5,17
0.28528,0,0,1095.1,1,3.6,-96.4,0,0.5,18
0.28724,0,0,1095.01,1,3.8,-96.2,0,0.5,19
0.289199,0,0,1094.93,1,4,-96,0,0.5,20
0.291159,0,0,1094.84,1,4.2,-95.8,0,0.5,21
0.293119,0,0,1094.76,1,4.4,-95.6,0,0.5,22
0.295079,0,0,1094.67,1,4.6,-95.4,0,0.5,23
0.297039,0,0,1094.59,1,4.8,-95.2,0,0.5,24
0.298999,0,0,1094.5,1,5,-95,0,0.5,25
0.300959,0,0,1094.41,1,5.2,-94.8,0,0.5,26
0.302919,0,0,1094.33,1,5.4,-94.6,0,0.5,27
0.304879,0,0,1094.24,1,5.6,-94.4,0,0.5,28
0.306839,0,0,1094.16,1,5.8,-94.2,0,0.5,29
0.308799,0,0,1094.07,1,6,-94,0,0.5,30
0.310759,0,0,1093.99,1,6.2,-93.8,0,0.5,31
0.312719,0,0,1093.9,1,6.4,-93.6,0,0.5,32
0.314679,0,0,1093.82,1,6.6,-93.4,0,0.5,33
0.316639,0,0,1093.73,1,6.8,-93.2,0,0.5,34
0.318599,0,0,1093.64,1,7,-93,0,0.5,35
0.320559,0,0,1093.56,1,7.2,-92.8,0,0.5,36
0.322519,0,0,1093.47,1,7.4,-92.6,0,0.5,37
0.324479,0,0,1093.39,1,7.6,-92.4,0,0.5,38
0.326439,0,0,1093.3,1,7.8,-92.2,0,0.5,39
0.328399,0,0,1093.22,1,8,-92,0,0.5,40
0.330359,0,0,1093.13,1,8.2,-91.8,0,0.5,41
0.332319,0,0,1093.04,1,8.4,-91.6,0,0.5,42
0.334279,0,0,1092.96,1,8.6,-91.4,0,0.5,43
0.336239,0,0,1092.87,1,8.8,-91.2,0,0.5,44
0.338199,0,0,1092.79,1,9,-91,0,0.5,45
0.340159,0,0,1092.7,1,9.2,-90.8,0,0.5,46
0.342119,0,0,1092.62,1,9.4,-90.6,0,0.5,47
0.344079,0,0,1092.53,1,9.6,-90.4,0,0.5,48
0.346039,0,0,1092.45,1,9.8,-90.2,0,0.5,49
0.347999,0,0,1092.36,1,10,-90,0,0.5,50
0.349959,0,0,1092.27,1,10.2,-89.8,0,0.5,51
0.351919,0,0,1092.19,1,10.4,-89.6,0,0.5,52
0.353879,0,0,1092.1,1,10.6,-89.4,0,0.5,53
0.355839,0,0,1092.02,1,10.8,-89.2,0,0.5,54
0.357799,0,0,1091.93,1,11,-89,0,0.5,55
0.359758,0,0,1091.85,1,11.2,-88.8,0,0.5,56
0.361719,0,0,1091.76,1,11.4,-88.6,0,0.5,57
0.363678,0,0,1091.68,1,11.6,-88.4,0,0.5,58
0.365638,0,0,1091.59,1,11.8,-88.2,0,0.5,59
0.367598,0,0,1091.5,1,12,-88,0,0.5,60
0.369558,0,0,1091.42,1,12.2,-87.8,0,0.5,61
0.371518,0,0,1091.33,1,12.4,-87.6,0,0.5,62
0.372872,1.61898e-16,0,1091.24,1,12.6,-87.4,0,0.5,63
0.372888,6.80987e-16,0,1091.15,1,12.8,-87.2,0,0.5,64
0.372904,1.20005e-15,0,1091.05,1,13,-87,0,0.5,65
0.372919,1.71912e-15,0,1090.96,1,13.2,-86.8,0,0.5,66
0.372935,2.23823e-15,0,1090.86,1,13.4,-86.6,0,0.5,67
0.372951,2.75729e-15,0,1090.76,1,13.6,-86.4,0,0.5,68
0.372967,3.27638e-15,0,1090.67,1,13.8,-86.2,0,0.5,69
0.372983,3.79545e-15,0,1090.57,1,14,-86,0,0.5,70
0.372998,4.31451e-15,0,1090.48,1,14.2,-85.8,0,0.5,71
0.373014,4.83362e-15,0,1090.38,1,14.4,-85.6,0,0.5,72
0.37303,5.35268e-15,0,1090.29,1,14.6,-85.4,0,0.5,73
0.373046,5.87177e-15,0,1090.19,1,14.8,-85.2,0,0.5,74
0.373062,6.39084e-15,0,1090.09,1,15,-85,0,0.5,75
0.373077,6.90991e-15,0,1090,1,15.2,-84.8,0,0.5,76
0.373093,7.42901e-15,0,1089.9,1,15.4,-84.6,0,0.5,77
0.373109,7.94808e-15,0,1089.81,1,15.6,-84.4,0,0.5,78
0.373125,8.46716e-15,0,1089.71,1,15.8,-84.2,0,0.5,79
0.373141,8.98623e-15,0,1089.61,1,16,-84,0,0.5,80
0.373156,9.50531e-15,0,1089.52,1,16.2,-83.8,0,0.5,81
0.373172,1.00244e-14,0,1089.42,1,16.4,-83.6,0,0.5,82
0.373188,1.05435e-14,0,1089.33,1,16.6,-83.4,0,0.5,83
0.373204,1.10626e-14,0,1089.23,1,16.8,-83.2,0,0.5,84
0.37322,1.15816e-14,0,1089.14,1,17,-83,0,0.5,85
0.373236,1.21007e-14,0,1089.04,1,17.2,-82.8,0,0.5,86
0.373251,1.26198e-14,0,1088.94,1,17.4,-82.6,0,0.5,87
0.373267,1.31389e-14,0,1088.85,1,17.6,-82.4,0,0.5,88
0.373283,1.3658e-14,0,1088.75,1,17.8,-82.2,0,0.5,89
0.373299,1.4177e-14,0,1088.66,1,18,-82,0,0.5,90
0.373315,1.46961e-14,0,1088.56,1,18.2,-81.8,0,0.5,91
0.37333,1.52152e-14,0,1088.46,1,18.4,-81.6,0,0.5,92
