U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.25,0,0,3008.51,1,0,-100,0,0.5,0
0.251977,0,0,3008.42,1,0.199997,-99.8,0,0.5,1
0.253954,0,0,3008.34,1,0.400002,-99.6,0,0.5,2
0.255932,0,0,3008.25,1,0.599998,-99.4,0,0.5,3
0.257909,0,0,3008.16,1,0.800003,-99.2,0,0.5,4
0.259886,0,0,3008.08,1,1,-99,0,0.5,5
0.261863,0,0,3007.99,1,1.2,-98.8,0,0.5,6
0.26384,0,0,3007.9,1,1.4,-98.6,0,0.5,7
0.265817,0,0,3007.82,1,1.6,-98.4,0,0.5,8
0.267795,0,0,3007.73,1,1.8,-98.2,0,0.5,9
0.269772,0,0,3007.65,1,2,-98,0,0.5,10
0.271749,0,0,3007.56,1,2.2,-97.8,0,0.5,11
0.273726,0,0,3007.47,1,2.4,-97.6,0,0.5,12
0.275703,0,0,3007.39,1,2.6,-97.4,0,0.5,13
0.277681,0,0,3007.3,1,2.8,-97.2,0,0.5,14
0.279658,0,0,3007.21,1,3,-97,0,0.5,15
0.281635,0,0,3007.13,1,3.2,-96.8,0,0.5,16
0.283612,0,0,3007.04,1,3.4,-96.6,0,0.5,17
0.285589,0,0,3006.95,1,3.6,-96.4,0,0.5,18
0.287567,0,0,3006.87,1,3.8,-96.2,0,0.5,19
0.289544,0,0,3006.78,1,4,-96,0,0.5,20
0.291521,0,0,3006.69,1,4.2,-95.8,0,0.5,21
0.293498,0,0,3006.61,1,4.4,-95.6,0,0.5,22
0.295475,0,0,3006.52,1,4.6,-95.4,0,0.5,23
0.297453,0,0,3006.43,1,4.8,-95.2,0,0.5,24
0.29943,0,0,3006.35,1,5,-95,0,0.5,25
0.301407,0,0,3006.26,1,5.2,-94.8,0,0.5,26
0.303384,0,0,3006.17,1,5.4,-94.6,0,0.5,27
0.305361,0,0,3006.09,1,5.6,-94.4,0,0.5,28
0.307338,0,0,3006,1,5.8,-94.2,0,0.5,29
0.309316,0,0,3005.91,1,6,-94,0,0.5,30
0.311293,0,0,3005.83,1,6.2,-93.8,0,0.5,31
0.31327,0,0,3005.74,1,6.4,-93.6,0,0.5,32
0.315247,0,0,3005.65,1,6.6,-93.4,0,0.5,33
0.317224,0,0,3005.57,1,6.8,-93.2,0,0.5,34
0.319202,0,0,3005.48,1,7,-93,0,0.5,35
