U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.25,0,0,1090.86,1,0,-100,0,0.5,0
0.25196,0,0,1090.78,1,0.199997,-99.8,0,0.5,1
0.25392,0,0,1090.69,1,0.400002,-99.6,0,0.5,2
0.255879,0,0,1090.6,1,0.599998,-99.4,0,0.5,3
0.257839,0,0,1090.52,1,0.800003,-99.2,0,0.5,4
0.259799,0,0,1090.43,1,1,-99,0,0.5,5
0.261759,0,0,1090.35,1,1.2,-98.8,0,0.5,6
0.263719,0,0,1090.26,1,1.4,-98.6,0,0.5,7
0.265679,0,0,1090.17,1,1.6,-98.4,0,0.5,8
0.267638,0,0,1090.09,1,1.8,-98.2,0,0.5,9
0.269598,0,0,1090,1,2,-98,0,0.5,10
0.271558,0,0,1089.92,1,2.2,-97.8,0,0.5,11
0.273518,0,0,1089.83,1,2.4,-97.6,0,0.5,12
0.275478,0,0,1089.75,1,2.6,-97.4,0,0.5,13
0.277437,0,0,1089.66,1,2.8,-97.2,0,0.5,14
0.279397,0,0,1089.57,1,3,-97,0,0.5,15
0.281357,0,0,1089.49,1,3.2,-96.8,0,0.5,16
0.283317,0,0,1089.4,1,3.4,-96.6,0,0.5,17
0.285277,0,0,1089.32,1,3.6,-96.4,0,0.5,18
0.287237,0,0,1089.23,1,3.8,-96.2,0,0.5,19
0.289196,0,0,1089.14,1,4,-96,0,0.5,20
0.291156,0,0,1089.06,1,4.2,-95.8,0,0.5,21
0.293116,0,0,1088.97,1,4.4,-95.6,0,0.5,22
0.295076,0,0,1088.89,1,4.6,-95.4,0,0.5,23
0.297036,0,0,1088.8,1,4.8,-95.2,0,0.5,24
0.298995,0,0,1088.72,1,5,-95,0,0.5,25
0.300955,0,0,1088.63,1,5.2,-94.8,0,0.5,26
0.302915,0,0,1088.54,1,5.4,-94.6,0,0.5,27
0.304875,0,0,1088.46,1,5.6,-94.4,0,0.5,28
0.306835,0,0,1088.37,1,5.8,-94.2,0,0.5,29
0.308794,0,0,1088.29,1,6,-94,0,0.5,30
0.310754,0,0,1088.2,1,6.2,-93.8,0,0.5,31
0.312714,0,0,1088.11,1,6.4,-93.6,0,0.5,32
0.314674,0,0,1088.03,1,6.6,-93.4,0,0.5,33
0.316634,0,0,1087.94,1,6.8,-93.2,0,0.5,34
0.318594,0,0,1087.86,1,7,-93,0,0.5,35
0.320553,0,0,1087.77,1,7.2,-92.8,0,0.5,36
0.322513,0,0,1087.69,1,7.4,-92.6,0,0.5,37
0.324473,0,0,1087.6,1,7.6,-92.4,0,0.5,38
0.326433,0,0,1087.51,1,7.8,-92.2,0,0.5,39
0.328393,0,0,1087.43,1,8,-92,0,0.5,40
0.330352,0,0,1087.34,1,8.2,-91.8,0,0.5,41
0.332312,0,0,1087.26,1,8.4,-91.6,0,0.5,42
0.334272,0,0,1087.17,1,8.6,-91.4,0,0.5,43
0.336232,0,0,1087.08,1,8.8,-91.2,0,0.5,44
0.338192,0,0,1087,1,9,-91,0,0.5,45
0.340152,0,0,1086.91,1,9.2,-90.8,0,0.5,46
0.342111,0,0,1086.83,1,9.4,-90.6,0,0.5,47
0.344071,0,0,1086.74,1,9.6,-90.4,0,0.5,48
0.346031,0,0,1086.65,1,9.8,-90.2,0,0.5,49
0.347991,0,0,1086.57,1,10,-90,0,0.5,50
0.349951,0,0,1086.48,1,10.2,-89.8,0,0.5,51
0.35191,0,0,1086.4,1,10.4,-89.6,0,0.5,52
0.35387,0,0,1086.31,1,10.6,-89.4,0,0.5,53
0.35583,0,0,1086.23,1,10.8,-89.2,0,0.5,54
0.35779,0,0,1086.14,1,11,-89,0,0.5,55
0.35975,0,0,1086.05,1,11.2,-88.8,0,0.5,56
0.36171,0,0,1085.97,1,11.4,-88.6,0,0.5,57
0.363669,0,0,1085.88,1,11.6,-88.4,0,0.5,58
0.365629,0,0,1085.8,1,11.8,-88.2,0,0.5,59
0.367589,0,0,1085.71,1,12,-88,0,0.5,60
0.369549,0,0,1085.62,1,12.2,-87.8,0,0.5,61
0.371509,0,0,1085.54,1,12.4,-87.6,0,0.5,62
0.372862,2.02366e-16,0,1085.45,1,12.6,-87.4,0,0.5,63
0.372878,8.51234e-16,0,1085.35,1,12.8,-87.2,0,0.5,64
0.372894,1.50006e-15,0,1085.26,1,13,-87,0,0.5,65
0.37291,2.14892e-15,0,1085.16,1,13.2,-86.8,0,0.5,66
0.372926,2.79777e-15,0,1085.07,1,13.4,-86.6,0,0.5,67
0.372942,3.44661e-15,0,1084.97,1,13.6,-86.4,0,0.5,68
0.372957,4.09547e-15,0,1084.87,1,13.8,-86.2,0,0.5,69
0.372973,4.74431e-15,0,1084.78,1,14,-86,0,0.5,70
0.372989,5.39316e-15,0,1084.68,1,14.2,-85.8,0,0.5,71
0.373005,6.04201e-15,0,1084.59,1,14.4,-85.6,0,0.5,72
