U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.00934837,1.58185e-06,0,0,1,0,100,-1,0.5,0
0.0141341,1.24507e-06,0,0,1,0.00199997,100,-0.998,0.5,1
0.01892,9.08293e-07,0,0,1,0.00400001,100,-0.996,0.5,2
0.0270658,5.50616e-07,0,0,1,0.00599998,100,-0.994,0.5,3
0.035753,1.89562e-07,0,0,1,0.00800002,100,-0.992,0.5,4
0.0444097,-7.29606e-08,0,0,1,0.00999999,100,-0.99,0.5,5
0.0529863,-7.37407e-08,0,0,1,0.012,100,-0.988,0.5,6
0.0615627,-7.45207e-08,0,0,1,0.014,100,-0.986,0.5,7
0.0701199,-6.16489e-08,0,0,1,0.016,100,-0.984,0.5,8
0.078562,3.3566e-08,0,0,1,0.018,100,-0.982,0.5,9
0.0870039,1.28778e-07,0,0,1,0.02,100,-0.98,0.5,10
0.095446,2.23993e-07,0,0,1,0.022,100,-0.978,0.5,11
0.10383,3.06087e-07,0,0,1,0.024,100,-0.976,0.5,12
0.11211,3.6418e-07,0,0,1,0.026,100,-0.974,0.5,13
0.120389,4.22272e-07,0,0,1,0.028,100,-0.972,0.5,14
0.128668,4.80363e-07,0,0,1,0.03,100,-0.97,0.5,15
0.136947,5.38457e-07,0,0,1,0.032,100,-0.968,0.5,16
0.145075,5.97434e-07,0,0,1,0.034,100,-0.966,0.5,17
0.153158,6.56678e-07,0,0,1,0.036,100,-0.964,0.5,18
0.161241,7.15922e-07,0,0,1,0.038,100,-0.962,0.5,19
0.169323,7.75166e-07,0,0,1,0.04,100,-0.96,0.5,20
0.177406,8.3441e-07,0,0,1,0.042,100,-0.958,0.5,21
0.185436,8.98332e-07,0,0,1,0.044,100,-0.956,0.5,22
0.193281,9.78673e-07,0,0,1,0.046,100,-0.954,0.5,23
0.201126,1.05901e-06,0,0,1,0.048,100,-0.952,0.5,24
0.208972,1.13936e-06,0,0,1,0.05,100,-0.95,0.5,25
0.216817,1.2197e-06,0,0,1,0.052,100,-0.948,0.5,26
0.224662,1.30004e-06,0,0,1,0.054,100,-0.946,0.5,27
0.232507,1.38038e-06,0,0,1,0.056,100,-0.944,0.5,28
0.240207,1.468e-06,0,0,1,0.058,100,-0.942,0.5,29
0.247766,1.5626e-06,0,0,1,0.06,100,-0.94,0.5,30
0.255326,1.65721e-06,0,0,1,0.062,100,-0.938,0.5,31
0.262885,1.75182e-06,0,0,1,0.064,100,-0.936,0.5,32
0.270444,1.84642e-06,0,0,1,0.066,100,-0.934,0.5,33
0.278004,1.94103e-06,0,0,1,0.068,100,-0.932,0.5,34
0.285563,2.03564e-06,0,0,1,0.07,100,-0.93,0.5,35
0.293122,2.13025e-06,0,0,1,0.072,100,-0.928,0.5,36
0.300548,2.2276e-06,0,0,1,0.074,100,-0.926,0.5,37
0.307764,2.32929e-06,0,0,1,0.076,100,-0.924,0.5,38
0.314979,2.43098e-06,0,0,1,0.078,100,-0.922,0.5,39
0.322195,2.53267e-06,0,0,1,0.08,100,-0.92,0.5,40
0.329411,2.63436e-06,0,0,1,0.082,100,-0.918,0.5,41
0.336626,2.73605e-06,0,0,1,0.084,100,-0.916,0.5,42
0.343842,2.83774e-06,0,0,1,0.086,100,-0.914,0.5,43
0.351058,2.93943e-06,0,0,1,0.088,100,-0.912,0.5,44
0.358273,3.04112e-06,0,0,1,0.09,100,-0.91,0.5,45
0.365489,3.14281e-06,0,0,1,0.092,100,-0.908,0.5,46
0.372474,3.24473e-06,0,0,1,0.094,100,-0.906,0.5,47
0.379279,3.34683e-06,0,0,1,0.096,100,-0.904,0.5,48
0.386084,3.44893e-06,0,0,1,0.098,100,-0.902,0.5,49
0.392888,3.55103e-06,0,0,1,0.1,100,-0.9,0.5,50
0.399693,3.65313e-06,0,0,1,0.102,100,-0.898,0.5,51
0.406498,3.75523e-06,0,0,1,0.104,100,-0.896,0.5,52
0.413302,3.85733e-06,0,0,1,0.106,100,-0.894,0.5,53
0.420107,3.95943e-06,0,0,1,0.108,100,-0.892,0.5,54
0.426912,4.06153e-06,0,0,1,0.11,100,-0.89,0.5,55
0.433716,4.16363e-06,0,0,1,0.112,100,-0.888,0.5,56
0.440521,4.26573e-06,0,0,1,0.114,100,-0.886,0.5,57
0.447325,4.36783e-06,0,0,1,0.116,100,-0.884,0.5,58
0.453803,4.46313e-06,0,0,1,0.118,100,-0.882,0.5,59
0.460119,4.55507e-06,0,0,1,0.12,100,-0.88,0.5,60
0.466436,4.64701e-06,0,0,1,0.122,100,-0.878,0.5,61
0.472752,4.73895e-06,0,0,1,0.124,100,-0.876,0.5,62
0.479068,4.83088e-06,0,0,1,0.126,100,-0.874,0.5,63
0.485385,4.92282e-06,0,0,1,0.128,100,-0.872,0.5,64
0.491701,5.01476e-06,0,0,1,0.13,100,-0.87,0.5,65
0.498017,5.1067e-06,0,0,1,0.132,100,-0.868,0.5,66
0.504333,5.19864e-06,0,0,1,0.134,100,-0.866,0.5,67
0.51065,5.29057e-06,0,0,1,0.136,100,-0.864,0.5,68
0.516966,5.38251e-06,0,0,1,0.138,100,-0.862,0.5,69
0.523282,5.47445e-06,0,0,1,0.14,100,-0.86,0.5,70
0.529599,5.56639e-06,0,0,1,0.142,100,-0.858,0.5,71
0.535915,5.65833e-06,0,0,1,0.144,100,-0.856,0.5,72
0.54207,5.74718e-06,0,0,1,0.146,100,-0.854,0.5,73
0.547812,5.82814e-06,0,0,1,0.148,100,-0.852,0.5,74
0.553555,5.9091e-06,0,0,1,0.15,100,-0.85,0.5,75
0.559297,5.99007e-06,0,0,1,0.152,100,-0.848,0.5,76
0.56504,6.07103e-06,0,0,1,0.154,100,-0.846,0.5,77
0.570782,6.152e-06,0,0,1,0.156,100,-0.844,0.5,78
0.576525,6.23296e-06,0,0,1,0.158,100,-0.842,0.5,79
0.582268,6.31393e-06,0,0,1,0.16,100,-0.84,0.5,80
0.58801,6.39489e-06,0,0,1,0.162,100,-0.838,0.5,81
0.593752,6.47585e-06,0,0,1,0.164,100,-0.836,0.5,82
0.599495,6.55682e-06,0,0,1,0.166,100,-0.834,0.5,83
0.605237,6.63778e-06,0,0,1,0.168,100,-0.832,0.5,84
0.61098,6.71875e-06,0,0,1,0.17,100,-0.83,0.5,85
0.616723,6.79971e-06,0,0,1,0.172,100,-0.828,0.5,86
0.622465,6.88067e-06,0,0,1,0.174,100,-0.826,0.5,87
0.628208,6.96164e-06,0,0,1,0.176,100,-0.824,0.5,88
0.63395,7.0426e-06,0,0,1,0.178,100,-0.822,0.5,89
0.639693,7.12356e-06,0,0,1,0.18,100,-0.82,0.5,90
0.644857,7.25269e-06,0,0,1,0.182,100,-0.818,0.5,91
0.649938,7.38889e-06,0,0,1,0.184,100,-0.816,0.5,92
0.655017,7.52509e-06,0,0,1,0.186,100,-0.814,0.5,93
0.660098,7.66129e-06,0,0,1,0.188,100,-0.812,0.5,94
0.665178,7.79749e-06,0,0,1,0.19,100,-0.81,0.5,95
0.670257,7.93369e-06,0,0,1,0.192,100,-0.808,0.5,96
0.675338,8.06989e-06,0,0,1,0.194,100,-0.806,0.5,97
0.680418,8.20609e-06,0,0,1,0.196,100,-0.804,0.5,98
0.685498,8.34229e-06,0,0,1,0.198,100,-0.802,0.5,99
0.690578,8.47849e-06,0,0,1,0.2,100,-0.8,0.5,100
0.695658,8.6147e-06,0,0,1,0.202,100,-0.798,0.5,101
0.700738,8.75089e-06,0,0,1,0.204,100,-0.796,0.5,102
0.705818,8.88709e-06,0,0,1,0.206,100,-0.794,0.5,103
0.710898,9.0233e-06,0,0,1,0.208,100,-0.792,0.5,104
0.715978,9.15949e-06,0,0,1,0.21,100,-0.79,0.5,105
0.721058,9.2957e-06,0,0,1,0.212,100,-0.788,0.5,106
0.726138,9.4319e-06,0,0,1,0.214,100,-0.786,0.5,107
0.731218,9.5681e-06,0,0,1,0.216,100,-0.784,0.5,108
0.736298,9.7043e-06,0,0,1,0.218,100,-0.782,0.5,109
0.741378,9.8405e-06,0,0,1,0.22,100,-0.78,0.5,110
0.746458,9.9767e-06,0,0,1,0.222,100,-0.778,0.5,111
0.750938,1.02933e-05,0,0,1,0.224,100,-0.776,0.5,112
0.755274,1.06532e-05,0,0,1,0.226,100,-0.774,0.5,113
0.75961,1.1013e-05,0,0,1,0.228,100,-0.772,0.5,114
0.763946,1.13729e-05,0,0,1,0.23,100,-0.77,0.5,115
0.768281,1.17328e-05,0,0,1,0.232,100,-0.768,0.5,116
0.772617,1.20927e-05,0,0,1,0.234,100,-0.766,0.5,117
0.776953,1.24526e-05,0,0,1,0.236,100,-0.764,0.5,118
0.781289,1.28125e-05,0,0,1,0.238,100,-0.762,0.5,119
0.785625,1.31724e-05,0,0,1,0.24,100,-0.76,0.5,120
0.789961,1.35323e-05,0,0,1,0.242,100,-0.758,0.5,121
0.794297,1.38922e-05,0,0,1,0.244,100,-0.756,0.5,122
0.798633,1.4252e-05,0,0,1,0.246,100,-0.754,0.5,123
0.802969,1.46119e-05,0,0,1,0.248,100,-0.752,0.5,124
0.807305,1.49718e-05,0,0,1,0.25,100,-0.75,0.5,125
0.811641,1.53317e-05,0,0,1,0.252,100,-0.748,0.5,126
0.815977,1.56916e-05,0,0,1,0.254,100,-0.746,0.5,127
0.820313,1.60515e-05,0,0,1,0.256,100,-0.744,0.5,128
0.824649,1.64114e-05,0,0,1,0.258,100,-0.742,0.5,129
0.828985,1.67713e-05,0,0,1,0.26,100,-0.74,0.5,130
0.833321,1.71312e-05,0,0,1,0.262,100,-0.738,0.5,131
0.837656,1.7491e-05,0,0,1,0.264,100,-0.736,0.5,132
0.841992,1.78509e-05,0,0,1,0.266,100,-0.734,0.5,133
