U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.00639746,2.32295e-14,0,0,1,0,100,-1,0.5,0
0.00968863,1.2994e-13,0,0,1,0.00199997,100,-0.998,0.5,1
0.0129799,2.36654e-13,0,0,1,0.00400001,100,-0.996,0.5,2
0.0185991,5.88119e-13,0,0,1,0.00599998,100,-0.994,0.5,3
0.0245933,9.7901e-13,0,0,1,0.00800002,100,-0.992,0.5,4
0.0305779,1.47611e-12,0,0,1,0.00999999,100,-0.99,0.5,5
0.0365374,2.25545e-12,0,0,1,0.012,100,-0.988,0.5,6
0.0424966,3.03475e-12,0,0,1,0.014,100,-0.986,0.5,7
0.0484499,3.87698e-12,0,0,1,0.016,100,-0.984,0.5,8
0.0543672,5.0987e-12,0,0,1,0.018,100,-0.982,0.5,9
0.0602843,6.32038e-12,0,0,1,0.02,100,-0.98,0.5,10
0.0662015,7.5421e-12,0,0,1,0.022,100,-0.978,0.5,11
0.0721006,8.94041e-12,0,0,1,0.024,100,-0.976,0.5,12
0.0779668,1.06619e-11,0,0,1,0.026,100,-0.974,0.5,13
0.0838329,1.23834e-11,0,0,1,0.028,100,-0.972,0.5,14
0.0896989,1.41049e-11,0,0,1,0.03,100,-0.97,0.5,15
0.0955652,1.58264e-11,0,0,1,0.032,100,-0.968,0.5,16
0.101384,1.79738e-11,0,0,1,0.034,100,-0.966,0.5,17
0.107188,2.02492e-11,0,0,1,0.036,100,-0.964,0.5,18
0.112993,2.25246e-11,0,0,1,0.038,100,-0.962,0.5,19
0.118797,2.48e-11,0,0,1,0.04,100,-0.96,0.5,20
0.124602,2.70753e-11,0,0,1,0.042,100,-0.958,0.5,21
0.130389,2.94837e-11,0,0,1,0.044,100,-0.956,0.5,22
0.136119,3.23589e-11,0,0,1,0.046,100,-0.954,0.5,23
0.141849,3.52341e-11,0,0,1,0.048,100,-0.952,0.5,24
0.147579,3.81093e-11,0,0,1,0.05,100,-0.95,0.5,25
0.153308,4.09845e-11,0,0,1,0.052,100,-0.948,0.5,26
0.159038,4.38597e-11,0,0,1,0.054,100,-0.946,0.5,27
0.164768,4.67349e-11,0,0,1,0.056,100,-0.944,0.5,28
0.170452,4.99299e-11,0,0,1,0.058,100,-0.942,0.5,29
0.176091,5.34327e-11,0,0,1,0.06,100,-0.94,0.5,30
