U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.00951639,1.87085e-06,0,0,1,0,100,-1,0.5,0
0.0143855,1.47261e-06,0,0,1,0.00199997,100,-0.998,0.5,1
0.0192547,1.07435e-06,0,0,1,0.00400001,100,-0.996,0.5,2
0.0275395,6.50133e-07,0,0,1,0.00599998,100,-0.994,0.5,3
0.0363747,2.21715e-07,0,0,1,0.00800002,100,-0.992,0.5,4
0.045177,-9.04711e-08,0,0,1,0.00999999,100,-0.99,0.5,5
0.0538929,-9.38953e-08,0,0,1,0.012,100,-0.988,0.5,6
0.0626086,-9.73193e-08,0,0,1,0.014,100,-0.986,0.5,7
0.0713036,-8.47353e-08,0,0,1,0.016,100,-0.984,0.5,8
0.0798747,2.44041e-08,0,0,1,0.018,100,-0.982,0.5,9
0.0884455,1.3354e-07,0,0,1,0.02,100,-0.98,0.5,10
0.0970165,2.4268e-07,0,0,1,0.022,100,-0.978,0.5,11
0.105526,3.35638e-07,0,0,1,0.024,100,-0.976,0.5,12
0.113922,3.98997e-07,0,0,1,0.026,100,-0.974,0.5,13
0.122318,4.62355e-07,0,0,1,0.028,100,-0.972,0.5,14
0.130714,5.25712e-07,0,0,1,0.03,100,-0.97,0.5,15
0.13911,5.89071e-07,0,0,1,0.032,100,-0.968,0.5,16
0.147344,6.52342e-07,0,0,1,0.034,100,-0.966,0.5,17
0.155529,7.15588e-07,0,0,1,0.036,100,-0.964,0.5,18
0.163714,7.78832e-07,0,0,1,0.038,100,-0.962,0.5,19
0.1719,8.42078e-07,0,0,1,0.04,100,-0.96,0.5,20
0.180085,9.05322e-07,0,0,1,0.042,100,-0.958,0.5,21
0.188214,9.73847e-07,0,0,1,0.044,100,-0.956,0.5,22
0.196146,1.0609e-06,0,0,1,0.046,100,-0.954,0.5,23
0.204078,1.14796e-06,0,0,1,0.048,100,-0.952,0.5,24
0.21201,1.23502e-06,0,0,1,0.05,100,-0.95,0.5,25
0.219941,1.32208e-06,0,0,1,0.052,100,-0.948,0.5,26
0.227873,1.40914e-06,0,0,1,0.054,100,-0.946,0.5,27
0.235805,1.4962e-06,0,0,1,0.056,100,-0.944,0.5,28
0.243582,1.59146e-06,0,0,1,0.058,100,-0.942,0.5,29
0.25121,1.69461e-06,0,0,1,0.06,100,-0.94,0.5,30
0.258838,1.79777e-06,0,0,1,0.062,100,-0.938,0.5,31
0.266466,1.90093e-06,0,0,1,0.064,100,-0.936,0.5,32
0.274093,2.00409e-06,0,0,1,0.066,100,-0.934,0.5,33
0.281721,2.10724e-06,0,0,1,0.068,100,-0.932,0.5,34
0.289349,2.2104e-06,0,0,1,0.07,100,-0.93,0.5,35
0.296977,2.31356e-06,0,0,1,0.072,100,-0.928,0.5,36
0.304463,2.42e-06,0,0,1,0.074,100,-0.926,0.5,37
0.311728,2.53162e-06,0,0,1,0.076,100,-0.924,0.5,38
0.318992,2.64324e-06,0,0,1,0.078,100,-0.922,0.5,39
0.326256,2.75486e-06,0,0,1,0.08,100,-0.92,0.5,40
0.333521,2.86649e-06,0,0,1,0.082,100,-0.918,0.5,41
0.340785,2.97811e-06,0,0,1,0.084,100,-0.916,0.5,42
0.348049,3.08973e-06,0,0,1,0.086,100,-0.914,0.5,43
0.355314,3.20135e-06,0,0,1,0.088,100,-0.912,0.5,44
0.362578,3.31297e-06,0,0,1,0.09,100,-0.91,0.5,45
0.369842,3.42459e-06,0,0,1,0.092,100,-0.908,0.5,46
0.376864,3.5372e-06,0,0,1,0.094,100,-0.906,0.5,47
0.383697,3.65057e-06,0,0,1,0.096,100,-0.904,0.5,48
0.390529,3.76395e-06,0,0,1,0.098,100,-0.902,0.5,49
0.397361,3.87733e-06,0,0,1,0.1,100,-0.9,0.5,50
0.404193,3.9907e-06,0,0,1,0.102,100,-0.898,0.5,51
0.411025,4.10407e-06,0,0,1,0.104,100,-0.896,0.5,52
0.417858,4.21745e-06,0,0,1,0.106,100,-0.894,0.5,53
0.42469,4.33083e-06,0,0,1,0.108,100,-0.892,0.5,54
0.431522,4.4442e-06,0,0,1,0.11,100,-0.89,0.5,55
0.438354,4.55758e-06,0,0,1,0.112,100,-0.888,0.5,56
0.445187,4.67095e-06,0,0,1,0.114,100,-0.886,0.5,57
0.452019,4.78433e-06,0,0,1,0.116,100,-0.884,0.5,58
0.45851,4.89181e-06,0,0,1,0.118,100,-0.882,0.5,59
0.464832,4.99639e-06,0,0,1,0.12,100,-0.88,0.5,60
0.471155,5.10096e-06,0,0,1,0.122,100,-0.878,0.5,61
0.477478,5.20553e-06,0,0,1,0.124,100,-0.876,0.5,62
0.4838,5.31011e-06,0,0,1,0.126,100,-0.874,0.5,63
0.490123,5.41468e-06,0,0,1,0.128,100,-0.872,0.5,64
0.496445,5.51926e-06,0,0,1,0.13,100,-0.87,0.5,65
0.502768,5.62383e-06,0,0,1,0.132,100,-0.868,0.5,66
0.509091,5.72841e-06,0,0,1,0.134,100,-0.866,0.5,67
0.515413,5.83298e-06,0,0,1,0.136,100,-0.864,0.5,68
0.521736,5.93756e-06,0,0,1,0.138,100,-0.862,0.5,69
0.528058,6.04213e-06,0,0,1,0.14,100,-0.86,0.5,70
0.534381,6.14671e-06,0,0,1,0.142,100,-0.858,0.5,71
0.540704,6.25128e-06,0,0,1,0.144,100,-0.856,0.5,72
0.546859,6.35426e-06,0,0,1,0.146,100,-0.854,0.5,73
0.552588,6.45315e-06,0,0,1,0.148,100,-0.852,0.5,74
0.558316,6.55205e-06,0,0,1,0.15,100,-0.85,0.5,75
0.564045,6.65095e-06,0,0,1,0.152,100,-0.848,0.5,76
0.569774,6.74984e-06,0,0,1,0.154,100,-0.846,0.5,77
0.575503,6.84874e-06,0,0,1,0.156,100,-0.844,0.5,78
0.581232,6.94764e-06,0,0,1,0.158,100,-0.842,0.5,79
0.58696,7.04653e-06,0,0,1,0.16,100,-0.84,0.5,80
0.592689,7.14543e-06,0,0,1,0.162,100,-0.838,0.5,81
0.598418,7.24433e-06,0,0,1,0.164,100,-0.836,0.5,82
0.604147,7.34322e-06,0,0,1,0.166,100,-0.834,0.5,83
0.609875,7.44212e-06,0,0,1,0.168,100,-0.832,0.5,84
0.615604,7.54102e-06,0,0,1,0.17,100,-0.83,0.5,85
0.621333,7.63991e-06,0,0,1,0.172,100,-0.828,0.5,86
0.627062,7.73881e-06,0,0,1,0.174,100,-0.826,0.5,87
0.632791,7.83771e-06,0,0,1,0.176,100,-0.824,0.5,88
0.638519,7.9366e-06,0,0,1,0.178,100,-0.822,0.5,89
0.644248,8.0355e-06,0,0,1,0.18,100,-0.82,0.5,90
0.649385,8.19449e-06,0,0,1,0.182,100,-0.818,0.5,91
0.654434,8.36231e-06,0,0,1,0.184,100,-0.816,0.5,92
0.659484,8.53012e-06,0,0,1,0.186,100,-0.814,0.5,93
0.664534,8.69794e-06,0,0,1,0.188,100,-0.812,0.5,94
0.669583,8.86575e-06,0,0,1,0.19,100,-0.81,0.5,95
0.674633,9.03356e-06,0,0,1,0.192,100,-0.808,0.5,96
0.679682,9.20138e-06,0,0,1,0.194,100,-0.806,0.5,97
0.684732,9.36919e-06,0,0,1,0.196,100,-0.804,0.5,98
0.689782,9.53701e-06,0,0,1,0.198,100,-0.802,0.5,99
0.694831,9.70483e-06,0,0,1,0.2,100,-0.8,0.5,100
0.699881,9.87264e-06,0,0,1,0.202,100,-0.798,0.5,101
0.70493,1.00405e-05,0,0,1,0.204,100,-0.796,0.5,102
0.70998,1.02083e-05,0,0,1,0.206,100,-0.794,0.5,103
0.71503,1.03761e-05,0,0,1,0.208,100,-0.792,0.5,104
0.720079,1.05439e-05,0,0,1,0.21,100,-0.79,0.5,105
0.725129,1.07117e-05,0,0,1,0.212,100,-0.788,0.5,106
0.730178,1.08795e-05,0,0,1,0.214,100,-0.786,0.5,107
0.735228,1.10473e-05,0,0,1,0.216,100,-0.784,0.5,108
0.740278,1.12152e-05,0,0,1,0.218,100,-0.782,0.5,109
0.745327,1.1383e-05,0,0,1,0.22,100,-0.78,0.5,110
0.750377,1.15508e-05,0,0,1,0.222,100,-0.778,0.5,111
0.754818,1.18967e-05,0,0,1,0.224,100,-0.776,0.5,112
0.759112,1.22855e-05,0,0,1,0.226,100,-0.774,0.5,113
0.763407,1.26742e-05,0,0,1,0.228,100,-0.772,0.5,114
0.767702,1.3063e-05,0,0,1,0.23,100,-0.77,0.5,115
0.771996,1.34517e-05,0,0,1,0.232,100,-0.768,0.5,116
