U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0,0,0,1030.99,1,0,0.6,-1,0.5,0
0.00988988,5.1116e-06,0,1031,1,0.00199997,0.6,-0.998,0.5,1
0.0197801,1.02233e-05,0,1031.01,1,0.00400001,0.6,-0.996,0.5,2
0.0292127,2.12904e-05,0,1031.03,1,0.00599998,0.6,-0.994,0.5,3
0.0385719,3.33169e-05,0,1031.04,1,0.00800002,0.6,-0.992,0.5,4
0.0478893,4.81425e-05,0,1031.06,1,0.00999999,0.6,-0.99,0.5,5
0.0570966,7.04065e-05,0,1031.07,1,0.012,0.6,-0.988,0.5,6
0.0663036,9.26697e-05,0,1031.09,1,0.014,0.6,-0.986,0.5,7
0.0754832,0.000116412,0,1031.1,1,0.016,0.6,-0.984,0.5,8
0.084498,0.000149079,0,1031.11,1,0.018,0.6,-0.982,0.5,9
0.0935124,0.000181745,0,1031.13,1,0.02,0.6,-0.98,0.5,10
0.102527,0.000214411,0,1031.14,1,0.022,0.6,-0.978,0.5,11
0.111454,0.000250655,0,1031.15,1,0.024,0.6,-0.976,0.5,12
0.120223,0.000293448,0,1031.17,1,0.026,0.6,-0.974,0.5,13
0.128991,0.00033624,0,1031.18,1,0.028,0.6,-0.972,0.5,14
0.137759,0.000379031,0,1031.2,1,0.03,0.6,-0.97,0.5,15
0.146527,0.000421824,0,1031.21,1,0.032,0.6,-0.968,0.5,16
0.155048,0.000471313,0,1031.23,1,0.034,0.6,-0.966,0.5,17
0.163494,0.000522817,0,1031.24,1,0.036,0.6,-0.964,0.5,18
0.17194,0.000574319,0,1031.26,1,0.038,0.6,-0.962,0.5,19
0.180386,0.000625822,0,1031.28,1,0.04,0.6,-0.96,0.5,20
0.188832,0.000677324,0,1031.29,1,0.042,0.6,-0.958,0.5,21
0.197184,0.000729629,0,1031.31,1,0.044,0.6,-0.956,0.5,22
0.205205,0.00078475,0,1031.33,1,0.046,0.6,-0.954,0.5,23
0.213226,0.00083987,0,1031.35,1,0.048,0.6,-0.952,0.5,24
0.221247,0.000894992,0,1031.37,1,0.05,0.6,-0.95,0.5,25
0.229268,0.000950112,0,1031.39,1,0.052,0.6,-0.948,0.5,26
0.237289,0.00100523,0,1031.41,1,0.054,0.6,-0.946,0.5,27
0.245309,0.00106035,0,1031.43,1,0.056,0.6,-0.944,0.5,28
0.253055,0.00111221,0,1031.45,1,0.058,0.6,-0.942,0.5,29
