U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0,0,0,2948.28,1,0,0.6,-1,0.5,0
0.0059964,1.12439e-06,0,2948.28,1,0.00199997,0.6,-0.998,0.5,1
0.011993,2.24881e-06,0,2948.28,1,0.00400001,0.6,-0.996,0.5,2
0.0177639,4.88038e-06,0,2948.29,1,0.00599998,0.6,-0.994,0.5,3
0.0234987,7.75474e-06,0,2948.29,1,0.00800002,0.6,-0.992,0.5,4
0.0292276,1.13197e-05,0,2948.3,1,0.00999999,0.6,-0.99,0.5,5
0.0349415,1.67197e-05,0,2948.3,1,0.012,0.6,-0.988,0.5,6
0.0406552,2.21196e-05,0,2948.3,1,0.014,0.6,-0.986,0.5,7
0.0463655,2.7941e-05,0,2948.31,1,0.016,0.6,-0.984,0.5,8
0.0520555,3.63049e-05,0,2948.31,1,0.018,0.6,-0.982,0.5,9
0.0577454,4.46686e-05,0,2948.31,1,0.02,0.6,-0.98,0.5,10
0.0634354,5.30325e-05,0,2948.32,1,0.022,0.6,-0.978,0.5,11
0.0691186,6.29655e-05,0,2948.32,1,0.024,0.6,-0.976,0.5,12
0.0747897,7.577e-05,0,2948.32,1,0.026,0.6,-0.974,0.5,13
0.0804607,8.85741e-05,0,2948.33,1,0.028,0.6,-0.972,0.5,14
0.0861316,0.000101378,0,2948.33,1,0.03,0.6,-0.97,0.5,15
0.0918028,0.000114183,0,2948.33,1,0.032,0.6,-0.968,0.5,16
0.0974569,0.000131982,0,2948.34,1,0.034,0.6,-0.966,0.5,17
0.103106,0.000151283,0,2948.34,1,0.036,0.6,-0.964,0.5,18
0.108755,0.000170584,0,2948.34,1,0.038,0.6,-0.962,0.5,19
0.114405,0.000189885,0,2948.35,1,0.04,0.6,-0.96,0.5,20
0.120054,0.000209185,0,2948.35,1,0.042,0.6,-0.958,0.5,21
0.125693,0.000230082,0,2948.35,1,0.044,0.6,-0.956,0.5,22
0.131298,0.00025658,0,2948.36,1,0.046,0.6,-0.954,0.5,23
0.136903,0.000283078,0,2948.36,1,0.048,0.6,-0.952,0.5,24
0.142507,0.000309577,0,2948.36,1,0.05,0.6,-0.95,0.5,25
0.148112,0.000336075,0,2948.37,1,0.052,0.6,-0.948,0.5,26
0.153717,0.000362574,0,2948.37,1,0.054,0.6,-0.946,0.5,27
0.159322,0.000389072,0,2948.38,1,0.056,0.6,-0.944,0.5,28
0.164885,0.000418404,0,2948.38,1,0.058,0.6,-0.942,0.5,29
0.170409,0.000450461,0,2948.39,1,0.06,0.6,-0.94,0.5,30
0.175932,0.000482519,0,2948.39,1,0.062,0.6,-0.938,0.5,31
0.181456,0.000514578,0,2948.39,1,0.064,0.6,-0.936,0.5,32
0.186979,0.000546635,0,2948.4,1,0.066,0.6,-0.934,0.5,33
0.192503,0.000578694,0,2948.4,1,0.068,0.6,-0.932,0.5,34
0.198027,0.000610752,0,2948.41,1,0.07,0.6,-0.93,0.5,35
0.20355,0.00064281,0,2948.41,1,0.072,0.6,-0.928,0.5,36
0.20903,0.000676565,0,2948.42,1,0.074,0.6,-0.926,0.5,37
0.214441,0.000713,0,2948.42,1,0.076,0.6,-0.924,0.5,38
0.219853,0.000749435,0,2948.43,1,0.078,0.6,-0.922,0.5,39
0.225264,0.00078587,0,2948.43,1,0.08,0.6,-0.92,0.5,40
0.230675,0.000822305,0,2948.44,1,0.082,0.6,-0.918,0.5,41
0.236086,0.00085874,0,2948.44,1,0.084,0.6,-0.916,0.5,42
0.241497,0.000895175,0,2948.45,1,0.086,0.6,-0.914,0.5,43
0.246909,0.00093161,0,2948.45,1,0.088,0.6,-0.912,0.5,44
0.25232,0.000968044,0,2948.45,1,0.09,0.6,-0.91,0.5,45
0.257731,0.00100448,0,2948.46,1,0.092,0.6,-0.908,0.5,46
0.263069,0.00104383,0,2948.46,1,0.094,0.6,-0.906,0.5,47
0.268351,0.00108548,0,2948.47,1,0.096,0.6,-0.904,0.5,48
0.273632,0.00112712,0,2948.47,1,0.098,0.6,-0.902,0.5,49
0.278914,0.00116876,0,2948.48,1,0.1,0.6,-0.9,0.5,50
0.284195,0.0012104,0,2948.48,1,0.102,0.6,-0.898,0.5,51
0.289477,0.00125205,0,2948.49,1,0.104,0.6,-0.896,0.5,52
0.294758,0.00129369,0,2948.49,1,0.106,0.6,-0.894,0.5,53
0.30004,0.00133533,0,2948.5,1,0.108,0.6,-0.892,0.5,54
0.305321,0.00137697,0,2948.5,1,0.11,0.6,-0.89,0.5,55
0.310602,0.00141862,0,2948.51,1,0.112,0.6,-0.888,0.5,56
0.315884,0.00146026,0,2948.51,1,0.114,0.6,-0.886,0.5,57
0.321165,0.0015019,0,2948.51,1,0.116,0.6,-0.884,0.5,58
0.326345,0.00154724,0,2948.52,1,0.118,0.6,-0.882,0.5,59
0.331475,0.00159441,0,2948.52,1,0.12,0.6,-0.88,0.5,60
0.336605,0.00164158,0,2948.53,1,0.122,0.6,-0.878,0.5,61
0.341735,0.00168875,0,2948.53,1,0.124,0.6,-0.876,0.5,62
