U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0,0,0,1025.07,1,0,0.6,-1,0.5,0
0.0101325,5.67013e-06,0,1025.08,1,0.00199997,0.6,-0.998,0.5,1
0.0202653,1.13404e-05,0,1025.09,1,0.00400001,0.6,-0.996,0.5,2
0.0299207,2.34506e-05,0,1025.11,1,0.00599998,0.6,-0.994,0.5,3
0.0394996,3.65982e-05,0,1025.13,1,0.00800002,0.6,-0.992,0.5,4
0.0490321,5.2805e-05,0,1025.15,1,0.00999999,0.6,-0.99,0.5,5
0.0584427,7.71411e-05,0,1025.16,1,0.012,0.6,-0.988,0.5,6
0.067853,0.000101476,0,1025.18,1,0.014,0.6,-0.986,0.5,7
0.0772329,0.000127406,0,1025.2,1,0.016,0.6,-0.984,0.5,8
0.0864297,0.000162956,0,1025.21,1,0.018,0.6,-0.982,0.5,9
0.0956263,0.000198505,0,1025.23,1,0.02,0.6,-0.98,0.5,10
0.104823,0.000234055,0,1025.24,1,0.022,0.6,-0.978,0.5,11
0.113923,0.000273386,0,1025.26,1,0.024,0.6,-0.976,0.5,12
0.122846,0.000319641,0,1025.28,1,0.026,0.6,-0.974,0.5,13
0.131769,0.000365894,0,1025.29,1,0.028,0.6,-0.972,0.5,14
0.140692,0.000412148,0,1025.31,1,0.03,0.6,-0.97,0.5,15
0.149615,0.000458403,0,1025.33,1,0.032,0.6,-0.968,0.5,16
0.158264,0.000511429,0,1025.35,1,0.034,0.6,-0.966,0.5,17
0.16683,0.000566492,0,1025.37,1,0.036,0.6,-0.964,0.5,18
0.175396,0.000621554,0,1025.39,1,0.038,0.6,-0.962,0.5,19
0.183962,0.000676617,0,1025.41,1,0.04,0.6,-0.96,0.5,20
0.192528,0.000731679,0,1025.42,1,0.042,0.6,-0.958,0.5,21
0.200992,0.000787368,0,1025.45,1,0.044,0.6,-0.956,0.5,22
0.209092,0.000845253,0,1025.47,1,0.046,0.6,-0.954,0.5,23
0.217192,0.000903138,0,1025.49,1,0.048,0.6,-0.952,0.5,24
0.225293,0.000961024,0,1025.52,1,0.05,0.6,-0.95,0.5,25
0.233393,0.00101891,0,1025.54,1,0.052,0.6,-0.948,0.5,26
0.241493,0.0010768,0,1025.56,1,0.054,0.6,-0.946,0.5,27
0.249594,0.00113468,0,1025.59,1,0.056,0.6,-0.944,0.5,28
0.257398,0.00118849,0,1025.61,1,0.058,0.6,-0.942,0.5,29
0.264917,0.00123837,0,1025.64,1,0.06,0.6,-0.94,0.5,30
