p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1053.89,0,0,0,0,0,0,0.0117856,0,0,1,0,0,-0.5,-4,0.5,0
1053.87,-0.00194907,-0.00126525,0,0,-6.01379e-19,1.66821e-19,-0.00263301,0,4.13586e-19,0,0,-1,-0.5,-3.6,0.5,1
1053.84,-0.00219169,-0.000915881,0,36.7319,5.08962e-19,-1.99891e-19,-0.00250877,3.86629e-19,-3.92534e-19,-1.49075e-19,3.56734e-19,-1,-0.5755,-3.63957,0.5,2
1053.8,-0.00236126,-0.000624798,0,68.7828,0,0,-0.00376121,-5.9039e-18,-0,1.51022e-18,-5.70747e-18,-1,-0.647587,-3.66386,0.5,3
1053.76,-0.00245474,-0.000331242,0,102.306,0,0,-0.00261513,-5.9039e-18,-0,7.89517e-19,-5.85087e-18,-1,-0.727851,-3.67979,0.5,4
1053.69,-0.00240188,5.10228e-05,0,144.273,0,0,-0.00419984,-5.9039e-18,0,-1.25387e-19,-5.90256e-18,-1,-0.831523,-3.68582,0.5,5
1053.64,-0.00223318,0.000331429,0,172.394,0,0,-0.00571201,-5.9039e-18,0,-8.66711e-19,-5.83993e-18,-1,-0.89882,-3.6804,0.5,6
1053.61,-0.00201498,0.000601873,0,196.339,0,0,-0.0103529,-5.9039e-18,0,4.6402e-09,1.41603e-08,-1,-0.951604,-3.66894,0.5,7
1053.58,-0.00153965,0.00100015,0,223.719,0,0,-0.0125016,-5.9039e-18,0,1.10125e-08,1.7967e-08,-1,-1.00401,-3.64557,0.5,8
1053.56,-0.00124199,0.0012579,0,239.879,0,0,-0.0136211,-5.9039e-18,0,1.49216e-08,1.48807e-08,-1,-1.02703,-3.62694,0.5,9
1053.56,-0.000970234,0.00149845,0,253.967,0,0,-0.0145561,-5.9039e-18,0,1.76787e-08,1.14696e-08,-1,-1.04262,-3.60757,0.5,10
1053.55,-0.000661043,0.00174721,0,266.264,0,0,-0.0193346,-5.9039e-18,0,1.96932e-08,7.50116e-09,-1,-1.05261,-3.58807,0.5,11
1053.56,-0.000317575,0.0020234,0,278.398,0,0,-0.0201833,-5.9039e-18,0,2.55827e-08,3.41462e-09,-1,-1.0583,-3.56617,0.5,12
1053.57,0.000265119,0.00251388,0,300.267,0,0,-0.0215219,-5.9039e-18,0,2.97168e-08,-2.25556e-09,-1,-1.05879,-3.52151,0.5,13
1053.58,0.000635908,0.00283566,0,311.451,0,0,-0.0265468,-5.9039e-18,0,2.9108e-08,-6.39538e-09,-1,-1.05422,-3.49363,0.5,14
1053.6,0.00102652,0.00318179,0,322.335,0,0,-0.0272347,-5.9039e-18,0,3.16883e-08,-1.02992e-08,-1,-1.04579,-3.46316,0.5,15
1053.62,0.0015019,0.0035723,0,335.51,0,0,-0.0282201,-5.9039e-18,0,3.36932e-08,-1.40369e-08,-1,-1.03034,-3.42192,0.5,16
1053.65,0.00199241,0.00398633,0,347.382,0,0,-0.0335137,-5.9039e-18,0,3.26922e-08,-1.62323e-08,-1,-1.01112,-3.38013,0.5,17
1053.69,0.00248678,0.00441046,0,359.131,0,0,-0.0342805,-5.9039e-18,0,3.18537e-08,-1.78216e-08,-1,-0.986447,-3.33395,0.5,18
1053.73,0.00283777,0.00470277,0,369.564,0,0,-0.0349415,-5.9039e-18,0,3.1274e-08,-1.88204e-08,-1,-0.959769,-3.28836,0.5,19
1053.76,0.00317689,0.00498332,0,377.245,0,0,-0.0399127,-5.9039e-18,0,3.07964e-08,-1.95921e-08,-1,-0.937573,-3.25249,0.5,20
1053.79,0.00351555,0.00525626,0,384.622,0,0,-0.0404694,-5.9039e-18,0,3.03254e-08,-2.03135e-08,-1,-0.913711,-3.216,0.5,21
1053.85,0.0038381,0.00547914,0,395.093,0,0,-0.0412231,-5.9039e-18,0,2.99521e-08,-2.086e-08,-1,-0.87626,-3.1614,0.5,22
1053.88,0.00394426,0.00551224,0,400.593,0,0,-0.040825,-5.9039e-18,0,2.96451e-08,-2.1294e-08,-1,-0.855015,-3.13135,0.5,23
1053.92,0.00420998,0.00568782,0,408.263,0,0,-0.0460484,-5.9039e-18,0,2.9353e-08,-2.16949e-08,-1,-0.824376,-3.08936,0.5,24
1053.98,0.00439569,0.00581505,0,416.318,0,0,-0.0467225,-5.9039e-18,0,3.14706e-08,-2.37468e-08,-1,-0.790213,-3.04373,0.5,25
1054.02,0.0044447,0.00579333,0,422.651,0,0,-0.0455085,-5.9039e-18,0,3.54257e-08,-2.72658e-08,-1,-0.762268,-3.00699,0.5,26
