p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1048.07,0,0,0,0,0,0,0.011794,0,0,1,0,0,-0.5,-4,0.5,0
1048.06,-0.00195516,-0.00127007,0,0,-5.38236e-19,2.51474e-19,-0.00260666,0,3.14372e-19,0,0,-1,-0.5,-3.6,0.5,1
1048.03,-0.00219873,-0.00092026,0,36.6174,-6.55562e-19,1.31411e-20,-0.0024787,1.67347e-17,5.99657e-19,-6.46109e-18,1.54371e-17,-1,-0.575498,-3.63961,0.5,2
1047.99,-0.00236969,-0.000628591,0,68.6041,0,0,-0.00372831,2.63252e-17,-0,-6.74966e-18,2.54452e-17,-1,-0.647675,-3.66398,0.5,3
1047.94,-0.00246429,-0.000334681,0,102.037,0,0,-0.00257881,2.63252e-17,-0,-3.54277e-18,2.60857e-17,-1,-0.72801,-3.67998,0.5,4
1047.87,-0.00239662,0.000102913,0,149.69,0,0,-0.00437034,2.63252e-17,0,1.12938e-18,2.6301e-17,-1,-0.846224,-3.6857,0.5,5
1047.83,-0.00224801,0.000325348,0,171.686,0,0,-0.00565671,2.63252e-17,0,3.77069e-18,2.60538e-17,-1,-0.898749,-3.68093,0.5,6
1047.8,-0.00209144,0.000527422,0,190.295,0,0,-0.00662814,2.63252e-17,0,6.43718e-18,2.55261e-17,-1,-0.940213,-3.67281,0.5,7
1047.77,-0.00174977,0.000831059,0,212.86,0,0,-0.01167,2.63252e-17,0,1.12941e-17,2.37794e-17,-1,-0.986094,-3.65681,0.5,8
1047.75,-0.00133815,0.00118418,0,235.534,0,0,-0.0132999,2.63252e-17,0,1.7446e-17,1.97143e-17,-1,-1.02283,-3.633,0.5,9
1047.74,-0.00106157,0.00142831,0,250.021,0,0,-0.0142772,2.63252e-17,0,2.11285e-17,1.57036e-17,-1,-1.04033,-3.61399,0.5,10
1047.74,-0.000856772,0.00160112,0,259.763,0,0,-0.0148778,2.63252e-17,0,2.3211e-17,1.24204e-17,-1,-1.04963,-3.59937,0.5,11
1047.74,-0.00052816,0.00186027,0,271.298,0,0,-0.0196975,2.63252e-17,0,2.53243e-17,7.18999e-18,-1,-1.0574,-3.57997,0.5,12
1047.75,7.29801e-05,0.00235715,0,293.456,0,0,-0.0211154,2.63252e-17,0,2.63126e-17,-8.14668e-19,-1,-1.06199,-3.53753,0.5,13
1047.76,0.00032668,0.00257559,0,302.522,0,0,-0.021685,2.63252e-17,0,2.6116e-17,-3.31247e-18,-1,-1.06026,-3.51623,0.5,14
1047.77,0.000766406,0.00295849,0,315.108,0,0,-0.0268113,2.63252e-17,0,2.5484e-17,-6.6017e-18,-1,-1.05401,-3.48418,0.5,15
1047.79,0.00111652,0.00327104,0,324.855,0,0,-0.0274267,2.63252e-17,0,2.49138e-17,-8.50398e-18,-1,-1.04538,-3.45568,0.5,16
